,Total:,Num_OY_Youth
77002,513,0
77003,394,0
77004,3844,0
77005,2317,8
77006,341,0
77007,312,0
77008,557,0
77009,1394,6
77010,8,0
77011,766,50
77012,826,0
77013,1366,43
77014,2170,37
77015,3931,69
77016,1633,31
77017,2038,119
77018,840,30
77019,462,0
77020,1319,22
77021,1296,27
77022,1380,76
77023,1658,140
77024,1790,0
77025,649,0
77026,1281,8
77027,507,0
77028,1055,25
77029,1108,150
77030,196,0
77031,1137,150
77032,1116,0
77033,1947,106
77034,2624,11
77035,1988,45
77036,3352,98
77037,1205,0
77038,2130,0
77039,1856,16
77040,2771,71
77041,2283,69
77042,1757,0
77043,1314,87
77044,3202,0
77045,2458,38
77046,0,0
77047,1495,43
77048,1192,14
77049,2728,0
77050,544,0
77051,1058,8
77053,2226,65
77054,502,13
77055,2280,30
77056,311,0
77057,1139,26
77058,598,0
77059,1150,9
77060,2668,30
77061,1131,39
77062,1149,16
77063,1134,18
77064,3473,0
77065,1731,48
77066,2833,49
77067,2279,18
77068,482,11
77069,926,0
77070,2718,83
77071,1214,25
77072,3785,27
77073,2917,74
77074,1908,0
77075,3328,251
77076,2595,10
77077,2287,16
77078,809,0
77079,1216,27
77080,2565,26
77081,2507,46
77082,2093,44
77083,4968,67
77084,6676,10
77085,1457,75
77086,2277,0
77087,2328,33
77088,3415,93
77089,3925,177
77090,2383,250
77091,1154,0
77092,1919,10
77093,2634,30
77094,301,0
77095,4329,15
77096,1400,11
77098,237,0
77099,2582,29
77201,0,0
77336,932,56
77338,2315,37
77339,1836,0
77345,2013,13
77346,3269,0
77357,2533,83
77365,2121,0
77373,3422,96
77375,3203,68
77377,2484,26
77379,4836,65
77386,3998,0
77388,3507,120
77389,1750,0
77396,3518,138
77401,784,0
77429,4599,18
77433,5373,39
77447,742,24
77449,6472,81
77450,4538,42
77477,1715,67
77484,586,0
77489,2388,39
77493,2155,49
77494,7098,34
77502,2823,47
77503,1525,136
77504,1495,80
77505,1405,0
77506,2427,46
77507,0,0
77520,1810,29
77521,3700,116
77530,2182,13
77532,1613,71
77535,1624,119
77536,2090,12
77546,2824,26
77547,611,6
77562,621,15
77571,1891,117
77581,2823,68
77586,1263,35
77587,1417,103
77598,956,54
77406,2681,0
77407,2538,0
77478,1008,0
77498,3551,79
